"CAT-1","CAT-2","CAT-3","CAT-4","CAT-5","GRUPO DE ARTÍCULO","PRODUCTO"
"#N/D","Muebles","Hogar","Sala Modular","Sala Modular|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1926-Sala modular derecha"
"#N/D","Muebles","Hogar","Sillón (individual 1 pza)","Sillón (individual 1 pza)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1954-Sillón"
"#N/D","Muebles","Hogar","Sala Modular","Sala Modular|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1925-Sala modular"
"#N/D","Muebles","Hogar","Taburete","Taburete|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1841-Taburete"
"#N/D","Muebles","Hogar","Sofá (3 personas/1 pza)","Sofá (3 personas/1 pza)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","5363-Sofá der"
"#N/D","Muebles","Hogar","Love Seat (2 personas/1 pza)","Love Seat (2 personas/1 pza)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1797-Sofá doble izquierdo"
"#N/D","Muebles","Hogar","Sillón (individual 1 pza)","Sillón (individual 1 pza)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1955-Sillón der"
"#N/D","Muebles","Hogar","Sillón (individual 1 pza)","Sillón (individual 1 pza)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1956-Sillón izq"
"#N/D","Muebles","Hogar","Sofá (3 personas/1 pza)","Sofá (3 personas/1 pza)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1962-Sofá"
"#N/D","Muebles","Hogar","Sofá (3 personas/1 pza)","Sofá (3 personas/1 pza)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","5361-Sofá izq"
"#N/D","Muebles","Hogar","Chaise Longue","Chaise Longue|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","5364-Chaise lounge izquierdo"
"#N/D","Muebles","Hogar","Módulo (para sala)","Módulo (para sala)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","6444-Modulo central doble"
"#N/D","Muebles","Hogar","Chaise Longue","Chaise Longue|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1645-Chaise lounge"
"#N/D","Muebles","Hogar","Love Seat (2 personas/1 pza)","Love Seat (2 personas/1 pza)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1795-Sofá doble"
"#N/D","Muebles","Hogar","Love Seat (2 personas/1 pza)","Love Seat (2 personas/1 pza)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1796-Sofá doble derecho"
"#N/D","Muebles","Hogar","Módulo (para sala)","Módulo (para sala)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1824-Sofá módulo central"
"#N/D","Muebles","Hogar","Módulo (para sala)","Módulo (para sala)|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1825-Sofá módulo esquinero"
"#N/D","Muebles","Hogar","Sala Modular","Sala Modular|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","1927-Sala modular izquierda"
"#N/D","Muebles","Hogar","Chaise Longue","Chaise Longue|10101-10101 - SALA MODULAR","10101-10101 - SALA MODULAR","5362-Chaise lounge dererecho"
