pedido,numero_guias,valor_declarado,largo_paquete,alto_paquete,ancho_paquete,peso_paquete
3930001000-A,8,1,33,12,13,12
5990000967-A,2,0,4,11,11,2
3110000851-A,3,0,5,11,11,3
6260000915-A,4,1,6,11,11,4
6260000915-A,5,2,7,11,11,5
5060000857-A,6,3,8,11,11,6
2400000848-A,7,4,9,11,11,7
4570000902-A,8,5,10,11,11,8
3510000836-A,9,6,11,11,11,9
1170000824-A,10,7,12,11,11,10
8470001632-A,11,8,13,11,11,11
4660000860-A,12,9,14,11,11,12
8140000827-A,13,10,15,11,11,13
1980000805-A,14,11,16,11,11,14
3280000851-A,15,12,17,11,11,15
2390000928-A,16,13,18,11,11,16
3140000869-A,17,14,19,11,11,17
8750000834-A,18,15,20,11,11,18
5150000820-A,19,16,21,11,11,19
8630000836-A,20,17,22,11,11,20
5950000876-A,21,18,23,11,11,21
8970000908-A,22,19,24,11,11,22
7400000826-A,23,20,25,11,11,23
8000000882-A,24,21,26,11,11,24
5700000852-A,25,22,27,11,11,25
1910000840-A,26,23,28,11,11,26
2600000835-A,27,24,29,11,11,27
4470000854-A,28,25,30,11,11,28
8500000865-A,29,26,31,11,11,29
1760008555-A,30,27,32,11,11,30
2200000854-A,30,28,33,11,11,31
6260000916-A,32,29,34,11,11,32
6260000916-A,33,30,35,11,11,33
6260000916-A,34,31,36,11,11,34
6260000916-A,35,32,37,11,11,35
810000820-A,36,33,38,11,11,36
4360000888-A,37,34,39,11,11,37
1830000869-A,38,35,40,11,11,38
6540000902-A,39,36,41,11,11,39
8910000855-A,40,37,42,11,11,40
7030000858-A,41,38,43,11,11,41
100000822-A,42,39,44,11,11,42
7670000881-A,43,40,45,11,11,43
8780001557-A,44,41,46,11,11,44
2510000879-A,45,42,47,11,11,45
7140000884-A,46,43,48,11,11,46
1530000788-A,47,44,49,11,11,47
